Auction_key,Auction_seq,Auction_date,Appraisal_price,Minimum_sales_price,Auction_results
14,4,2015-08-25 00:00:00,1360000000,1088000000,변경
14,5,2015-11-03 00:00:00,1360000000,1088000000,변경
14,6,2016-04-05 00:00:00,1360000000,1088000000,낙찰
15,1,2015-10-13 00:00:00,1400000000,1400000000,변경
15,2,2015-12-22 00:00:00,1400000000,1400000000,변경
15,3,2016-03-15 00:00:00,1400000000,1400000000,유찰
15,4,2016-04-19 00:00:00,1400000000,1120000000,낙찰
15,5,2016-07-12 00:00:00,1400000000,1120000000,배당
16,1,2016-04-05 00:00:00,3300000000,3300000000,유찰
16,2,2016-05-10 00:00:00,3300000000,2640000000,낙찰
16,3,2016-06-21 00:00:00,3300000000,2640000000,배당
17,1,2014-12-16 00:00:00,650000000,650000000,유찰
17,2,2015-02-03 00:00:00,650000000,520000000,변경
17,3,2016-05-17 00:00:00,650000000,520000000,낙찰
17,4,2016-07-13 00:00:00,650000000,520000000,배당
18,1,2015-03-12 00:00:00,690000000,690000000,유찰
18,2,2015-04-16 00:00:00,690000000,552000000,변경
18,3,2015-12-17 00:00:00,690000000,552000000,변경
18,4,2016-03-31 00:00:00,690000000,552000000,변경
18,5,2017-06-15 00:00:00,690000000,552000000,낙찰
18,6,2017-08-24 00:00:00,690000000,552000000,배당
19,1,2014-12-03 00:00:00,520000000,520000000,유찰
19,2,2015-01-21 00:00:00,520000000,416000000,변경
19,3,2017-02-08 00:00:00,520000000,416000000,낙찰
19,4,2017-04-18 00:00:00,520000000,416000000,배당
20,1,2015-11-24 00:00:00,640000000,640000000,유찰
20,2,2015-12-29 00:00:00,640000000,512000000,유찰
20,3,2016-02-02 00:00:00,640000000,409600000,낙찰
20,4,2016-04-26 00:00:00,640000000,409600000,유찰
20,5,2016-05-31 00:00:00,640000000,327680000,변경
20,6,2016-09-20 00:00:00,640000000,327680000,유찰
20,7,2016-10-25 00:00:00,640000000,262144000,낙찰
20,8,2017-02-03 00:00:00,640000000,262144000,배당
21,1,2016-06-16 00:00:00,1260000000,1260000000,유찰
21,2,2016-07-21 00:00:00,1260000000,1008000000,낙찰
21,3,2016-08-25 00:00:00,1260000000,1008000000,배당
22,1,2015-09-02 00:00:00,2265000000,2265000000,유찰
22,2,2015-10-14 00:00:00,2265000000,1812000000,낙찰
22,3,2016-03-02 00:00:00,2265000000,2265000000,유찰
22,4,2016-04-06 00:00:00,2265000000,1812000000,변경
22,5,2016-07-20 00:00:00,2265000000,1812000000,낙찰
22,6,2016-10-18 00:00:00,2265000000,1812000000,배당
23,1,2016-06-30 00:00:00,1780000000,1780000000,유찰
23,2,2016-08-11 00:00:00,1780000000,1424000000,유찰
23,3,2016-09-22 00:00:00,1780000000,1139200000,유찰
23,4,2016-10-27 00:00:00,1780000000,911360000,낙찰
23,5,2017-01-24 00:00:00,1780000000,911360000,배당
24,1,2016-04-28 00:00:00,890000000,890000000,낙찰
24,2,2016-07-07 00:00:00,890000000,890000000,배당
25,1,2015-05-19 00:00:00,620000000,620000000,유찰
25,2,2015-06-16 00:00:00,620000000,496000000,변경
25,3,2016-04-05 00:00:00,620000000,496000000,낙찰
25,4,2016-05-24 00:00:00,620000000,496000000,배당
26,1,2015-05-19 00:00:00,618000000,618000000,유찰
26,2,2015-06-16 00:00:00,618000000,494400000,변경
26,3,2016-04-05 00:00:00,618000000,494400000,낙찰
26,4,2016-05-24 00:00:00,618000000,494400000,배당
27,1,2015-05-19 00:00:00,608000000,608000000,유찰
27,2,2015-06-16 00:00:00,608000000,486400000,변경
27,3,2016-04-05 00:00:00,608000000,486400000,낙찰
27,4,2016-05-24 00:00:00,608000000,486400000,배당
28,1,2015-05-19 00:00:00,608000000,608000000,유찰
28,2,2015-06-16 00:00:00,608000000,486400000,변경
28,3,2016-04-05 00:00:00,608000000,486400000,낙찰
28,4,2016-05-24 00:00:00,608000000,486400000,배당
29,1,2015-05-19 00:00:00,618000000,618000000,유찰
29,2,2015-06-16 00:00:00,618000000,494400000,변경
29,3,2016-04-05 00:00:00,618000000,494400000,낙찰
29,4,2016-05-24 00:00:00,618000000,494400000,배당
30,1,2015-08-05 00:00:00,751000000,751000000,유찰
30,2,2015-09-02 00:00:00,751000000,600800000,유찰
30,3,2015-10-14 00:00:00,751000000,480640000,변경
30,4,2016-03-02 00:00:00,751000000,480640000,변경
30,5,2016-04-06 00:00:00,751000000,480640000,낙찰
30,6,2016-06-14 00:00:00,751000000,480640000,배당
31,1,2015-12-01 00:00:00,2250000000,2250000000,유찰
31,2,2016-01-05 00:00:00,2250000000,1800000000,유찰
31,3,2016-02-16 00:00:00,2250000000,1440000000,낙찰
31,4,2016-05-03 00:00:00,2250000000,1440000000,유찰
31,5,2016-06-07 00:00:00,2250000000,1152000000,낙찰
31,6,2016-08-11 00:00:00,2250000000,1152000000,배당
32,1,2015-08-04 00:00:00,970000000,970000000,변경
32,2,2017-04-25 00:00:00,970000000,970000000,변경
32,3,2017-09-19 00:00:00,970000000,970000000,낙찰
32,4,2017-12-12 00:00:00,970000000,970000000,배당
33,1,2016-03-15 00:00:00,890000000,890000000,유찰
33,2,2016-04-19 00:00:00,890000000,712000000,유찰
33,3,2016-05-24 00:00:00,890000000,569600000,유찰
33,4,2016-06-28 00:00:00,890000000,455680000,낙찰
33,5,2016-09-13 00:00:00,890000000,455680000,대납
33,6,2016-10-04 00:00:00,890000000,455680000,배당
34,2,2016-05-11 00:00:00,124000000,124000000,낙찰
34,3,2016-07-26 00:00:00,124000000,124000000,배당
35,1,2016-03-22 00:00:00,923000000,923000000,변경
35,2,2016-04-26 00:00:00,923000000,923000000,낙찰
35,3,2016-06-23 00:00:00,923000000,923000000,배당
36,1,2016-02-23 00:00:00,1100000000,1100000000,유찰
36,2,2016-04-05 00:00:00,1100000000,880000000,낙찰
36,3,2016-06-21 00:00:00,1100000000,880000000,배당
37,1,2016-05-26 00:00:00,1700000000,1700000000,유찰
37,2,2016-06-30 00:00:00,1700000000,1360000000,변경
37,3,2016-11-30 00:00:00,1700000000,1360000000,변경
37,4,2017-03-30 00:00:00,1700000000,1360000000,낙찰
37,5,2017-05-30 00:00:00,1700000000,1360000000,배당
38,1,2016-09-22 00:00:00,460000000,460000000,낙찰
38,2,2016-11-15 00:00:00,460000000,460000000,배당
39,1,2016-03-23 00:00:00,680000000,680000000,유찰
39,2,2016-04-27 00:00:00,680000000,544000000,낙찰
39,3,2016-06-23 00:00:00,680000000,544000000,배당
40,1,2015-11-19 00:00:00,420000000,420000000,변경
40,2,2015-12-31 00:00:00,420000000,420000000,변경
40,3,2016-02-04 00:00:00,420000000,420000000,변경
40,4,2016-08-11 00:00:00,420000000,420000000,낙찰
40,5,2016-10-04 00:00:00,420000000,420000000,배당
41,1,2016-01-26 00:00:00,3550000000,3550000000,변경
41,2,2016-03-15 00:00:00,3550000000,3550000000,유찰
41,3,2016-04-19 00:00:00,3550000000,2840000000,낙찰
41,4,2016-07-26 00:00:00,3550000000,2840000000,배당
42,1,2015-09-23 00:00:00,3260000000,3260000000,변경
42,2,2016-01-06 00:00:00,3260000000,3260000000,변경
42,3,2016-10-26 00:00:00,3260000000,3260000000,변경
42,4,2016-12-07 00:00:00,4100000000,4100000000,유찰
42,5,2017-01-04 00:00:00,4100000000,3280000000,낙찰
42,6,2017-03-21 00:00:00,4100000000,3280000000,배당
43,1,2016-04-26 00:00:00,1000000000,1000000000,유찰
43,2,2016-05-31 00:00:00,1000000000,800000000,변경
43,3,2016-11-29 00:00:00,1000000000,800000000,유찰
43,4,2016-12-28 00:00:00,1000000000,640000000,낙찰
43,5,2017-03-17 00:00:00,1000000000,640000000,배당
44,1,2016-12-15 00:00:00,1450000000,1160000000,낙찰
44,2,2017-02-23 00:00:00,1450000000,1160000000,배당
45,1,2016-11-10 00:00:00,1150000000,1150000000,낙찰
45,2,2017-01-19 00:00:00,1150000000,1150000000,배당
46,1,2015-12-29 00:00:00,1100000000,1100000000,유찰
46,2,2016-02-02 00:00:00,1100000000,880000000,변경
46,3,2016-09-20 00:00:00,1100000000,880000000,낙찰
46,4,2016-12-02 00:00:00,1100000000,880000000,배당
47,1,2016-04-05 00:00:00,2700000000,2700000000,유찰
47,2,2016-05-10 00:00:00,2700000000,2160000000,변경
47,3,2016-07-19 00:00:00,2700000000,2160000000,낙찰
47,4,2016-10-07 00:00:00,2700000000,2160000000,배당
48,1,2016-04-26 00:00:00,2360000000,2360000000,유찰
48,2,2016-05-31 00:00:00,2360000000,1888000000,낙찰
48,3,2016-08-26 00:00:00,2360000000,1888000000,배당
49,1,2016-11-02 00:00:00,700000000,700000000,유찰
49,2,2016-12-14 00:00:00,700000000,560000000,유찰
49,3,2017-01-18 00:00:00,700000000,448000000,유찰
49,4,2017-02-22 00:00:00,700000000,358400000,낙찰
49,5,2017-07-25 00:00:00,700000000,358400000,배당
50,1,2016-03-15 00:00:00,830000000,830000000,유찰
50,2,2016-04-19 00:00:00,830000000,664000000,낙찰
50,3,2016-06-28 00:00:00,830000000,664000000,배당
51,1,2016-01-07 00:00:00,820000000,820000000,변경
51,2,2016-03-17 00:00:00,820000000,820000000,변경
51,3,2016-04-21 00:00:00,820000000,820000000,유찰
51,4,2016-06-02 00:00:00,820000000,656000000,낙찰
51,5,2016-08-10 00:00:00,820000000,656000000,배당
52,1,2016-06-21 00:00:00,1220000000,1220000000,낙찰
52,2,2016-08-24 00:00:00,1220000000,1220000000,배당
53,1,2015-12-29 00:00:00,900000000,900000000,유찰
53,2,2016-02-02 00:00:00,900000000,720000000,변경
53,3,2016-04-26 00:00:00,900000000,720000000,변경
53,4,2016-07-05 00:00:00,900000000,720000000,낙찰
53,5,2016-09-09 00:00:00,900000000,720000000,배당
54,1,2016-09-20 00:00:00,347000000,347000000,유찰
54,2,2016-10-25 00:00:00,347000000,277600000,낙찰
54,3,2017-01-06 00:00:00,347000000,277600000,배당
55,1,2016-02-11 00:00:00,1540000000,1540000000,유찰
55,2,2016-03-17 00:00:00,1540000000,1232000000,유찰
55,3,2016-04-21 00:00:00,1540000000,985600000,변경
55,4,2016-06-02 00:00:00,1540000000,985600000,낙찰
55,5,2016-09-07 00:00:00,1540000000,985600000,배당
56,1,2015-12-23 00:00:00,1000000000,1000000000,변경
56,2,2016-03-02 00:00:00,1000000000,1000000000,유찰
56,3,2016-04-06 00:00:00,1000000000,800000000,낙찰
56,4,2016-06-14 00:00:00,1000000000,800000000,배당
57,1,2016-03-23 00:00:00,1140000000,1140000000,유찰
57,2,2016-04-27 00:00:00,1140000000,912000000,유찰
57,3,2016-06-01 00:00:00,1140000000,729600000,낙찰
57,4,2016-08-18 00:00:00,1140000000,729600000,배당
58,1,2016-05-11 00:00:00,460000000,460000000,유찰
58,2,2016-06-15 00:00:00,460000000,368000000,낙찰
58,3,2016-08-23 00:00:00,460000000,368000000,배당
59,1,2016-03-29 00:00:00,480000000,480000000,유찰
59,2,2016-05-03 00:00:00,480000000,384000000,낙찰
59,3,2016-07-14 00:00:00,480000000,384000000,배당
60,1,2016-04-14 00:00:00,652000000,652000000,낙찰
60,2,2016-07-15 00:00:00,652000000,652000000,배당
61,1,2016-09-22 00:00:00,1752000000,1752000000,유찰
61,2,2016-10-27 00:00:00,1752000000,1401600000,유찰
61,3,2016-11-30 00:00:00,1752000000,1121280000,낙찰
61,4,2017-02-07 00:00:00,1752000000,1121280000,배당
62,1,2016-02-25 00:00:00,540000000,540000000,유찰
62,2,2016-03-31 00:00:00,540000000,432000000,낙찰
62,3,2016-06-16 00:00:00,540000000,432000000,유찰
62,4,2016-07-21 00:00:00,540000000,345600000,유찰
62,5,2016-09-01 00:00:00,540000000,276480000,유찰
62,6,2016-10-13 00:00:00,540000000,221184000,유찰
62,7,2016-11-17 00:00:00,540000000,176947000,유찰
62,8,2016-12-15 00:00:00,540000000,141558000,유찰
62,9,2017-01-19 00:00:00,540000000,113246000,낙찰
62,10,2017-03-23 00:00:00,540000000,113246000,배당
63,1,2016-04-19 00:00:00,1190000000,1190000000,유찰
63,2,2016-05-24 00:00:00,1190000000,952000000,낙찰
63,3,2016-08-09 00:00:00,1190000000,952000000,낙찰
63,4,2016-10-04 00:00:00,1190000000,952000000,배당
64,1,2016-04-26 00:00:00,530000000,530000000,유찰
64,2,2016-05-31 00:00:00,530000000,424000000,낙찰
64,3,2016-08-26 00:00:00,530000000,424000000,배당
65,1,2016-03-08 00:00:00,636000000,636000000,유찰
65,2,2016-04-12 00:00:00,636000000,508800000,낙찰
65,3,2016-06-22 00:00:00,636000000,508800000,배당
66,1,2016-03-10 00:00:00,900000000,900000000,유찰
66,2,2016-04-14 00:00:00,900000000,720000000,낙찰
66,3,2016-06-17 00:00:00,900000000,720000000,배당
67,1,2016-01-27 00:00:00,1200000000,1200000000,변경
67,2,2016-06-15 00:00:00,1200000000,1200000000,유찰
67,3,2016-07-20 00:00:00,1200000000,960000000,유찰
67,4,2016-08-24 00:00:00,1200000000,768000000,낙찰
67,5,2016-11-01 00:00:00,1200000000,768000000,배당
68,1,2016-02-25 00:00:00,830000000,830000000,변경
68,2,2016-05-12 00:00:00,830000000,830000000,낙찰
68,3,2016-07-14 00:00:00,830000000,830000000,배당
69,1,2016-03-10 00:00:00,1510000000,1510000000,유찰
69,2,2016-04-14 00:00:00,1510000000,1208000000,낙찰
69,3,2016-06-17 00:00:00,1510000000,1208000000,배당
70,1,2016-04-19 00:00:00,617000000,617000000,낙찰
70,2,2016-06-28 00:00:00,617000000,617000000,배당
71,1,2017-01-18 00:00:00,795000000,795000000,변경
71,2,2017-02-22 00:00:00,795000000,795000000,낙찰
71,3,2017-04-25 00:00:00,795000000,795000000,배당
72,1,2016-05-03 00:00:00,651000000,651000000,유찰
72,2,2016-06-07 00:00:00,651000000,520800000,낙찰
72,3,2016-07-28 00:00:00,651000000,520800000,배당
73,1,2016-01-12 00:00:00,990000000,990000000,유찰
73,2,2016-02-23 00:00:00,990000000,792000000,유찰
73,3,2016-04-05 00:00:00,990000000,633600000,낙찰
73,4,2016-06-21 00:00:00,990000000,633600000,배당
74,1,2016-04-19 00:00:00,480000000,480000000,유찰
74,2,2016-05-24 00:00:00,480000000,384000000,낙찰
74,3,2016-07-26 00:00:00,480000000,384000000,배당
75,1,2016-08-16 00:00:00,516000000,516000000,변경
75,2,2016-09-20 00:00:00,516000000,516000000,변경
75,3,2016-11-29 00:00:00,516000000,516000000,낙찰
75,4,2017-02-17 00:00:00,516000000,516000000,배당
76,1,2016-04-14 00:00:00,1820000000,1820000000,유찰
76,2,2016-05-26 00:00:00,1820000000,1456000000,유찰
76,3,2016-06-30 00:00:00,1820000000,1164800000,유찰
76,4,2016-08-11 00:00:00,1820000000,931840000,낙찰
76,5,2016-10-27 00:00:00,1820000000,931840000,유찰
76,6,2016-11-30 00:00:00,1820000000,745472000,낙찰
76,7,2017-02-21 00:00:00,1820000000,745472000,배당
77,1,2016-04-28 00:00:00,800000000,800000000,낙찰
77,2,2016-07-07 00:00:00,800000000,800000000,배당
78,1,2016-05-31 00:00:00,880000000,880000000,낙찰
78,2,2016-08-26 00:00:00,880000000,880000000,배당
79,1,2016-05-11 00:00:00,710000000,710000000,유찰
79,2,2016-06-15 00:00:00,710000000,568000000,변경
79,3,2016-08-24 00:00:00,710000000,568000000,낙찰
79,4,2016-10-18 00:00:00,710000000,568000000,배당
80,1,2016-03-31 00:00:00,146000000,146000000,낙찰
80,2,2016-06-16 00:00:00,146000000,146000000,유찰
80,3,2016-07-21 00:00:00,146000000,116800000,낙찰
80,4,2017-03-23 00:00:00,146000000,116800000,배당
81,1,2016-03-10 00:00:00,450000000,450000000,유찰
81,2,2016-04-14 00:00:00,450000000,360000000,낙찰
81,3,2016-05-20 00:00:00,450000000,360000000,배당
82,1,2016-03-02 00:00:00,4500000000,4500000000,유찰
82,2,2016-04-06 00:00:00,4500000000,3600000000,유찰
82,3,2016-05-11 00:00:00,4500000000,2880000000,낙찰
82,4,2016-07-20 00:00:00,4500000000,2880000000,낙찰
82,5,2016-10-04 00:00:00,4500000000,2880000000,배당
83,1,2016-03-31 00:00:00,1550000000,1550000000,유찰
83,2,2016-05-12 00:00:00,1550000000,1240000000,변경
83,3,2017-01-19 00:00:00,1550000000,1550000000,유찰
83,4,2017-03-16 00:00:00,1550000000,1240000000,유찰
83,5,2017-04-20 00:00:00,1550000000,992000000,낙찰
83,6,2017-07-27 00:00:00,1550000000,992000000,배당
84,1,2016-06-01 00:00:00,920000000,920000000,유찰
84,2,2016-07-06 00:00:00,920000000,736000000,낙찰
84,3,2016-09-29 00:00:00,920000000,736000000,배당
85,1,2016-03-24 00:00:00,1990000000,1990000000,유찰
85,2,2016-04-28 00:00:00,1990000000,1592000000,변경
85,3,2016-07-14 00:00:00,1990000000,1592000000,낙찰
85,4,2016-10-27 00:00:00,1990000000,1592000000,배당
86,1,2016-06-07 00:00:00,1100000000,1100000000,유찰
86,2,2016-07-12 00:00:00,1100000000,880000000,낙찰
86,3,2016-09-22 00:00:00,1100000000,880000000,배당
87,1,2016-05-17 00:00:00,980000000,980000000,낙찰
87,2,2016-07-20 00:00:00,980000000,980000000,배당
88,1,2016-10-27 00:00:00,590000000,590000000,낙찰
88,2,2016-12-13 00:00:00,590000000,590000000,배당
89,1,2016-03-31 00:00:00,950000000,950000000,유찰
89,2,2016-05-12 00:00:00,950000000,760000000,낙찰
89,3,2016-07-14 00:00:00,950000000,760000000,배당
90,1,2016-04-28 00:00:00,1710000000,1710000000,유찰
90,2,2016-06-09 00:00:00,1710000000,1368000000,낙찰
90,3,2016-07-21 00:00:00,1710000000,1368000000,배당
91,1,2016-02-17 00:00:00,338000000,338000000,유찰
91,2,2016-03-23 00:00:00,338000000,270400000,변경
91,3,2016-04-27 00:00:00,338000000,338000000,유찰
91,4,2016-06-01 00:00:00,338000000,270400000,낙찰
91,5,2016-08-18 00:00:00,338000000,270400000,배당
92,1,2016-04-14 00:00:00,760000000,760000000,낙찰
92,2,2016-06-03 00:00:00,760000000,760000000,배당
93,1,2016-06-07 00:00:00,2520000000,2520000000,유찰
93,2,2016-07-12 00:00:00,2520000000,2016000000,낙찰
93,3,2016-08-25 00:00:00,2520000000,2016000000,배당
94,1,2016-06-07 00:00:00,340000000,340000000,변경
94,2,2017-03-14 00:00:00,680000000,680000000,유찰
94,3,2017-04-11 00:00:00,680000000,544000000,낙찰
94,4,2017-06-15 00:00:00,680000000,544000000,배당
95,1,2016-04-06 00:00:00,820000000,820000000,유찰
95,2,2016-05-11 00:00:00,820000000,656000000,유찰
95,3,2016-06-15 00:00:00,820000000,524800000,낙찰
95,4,2016-08-09 00:00:00,820000000,524800000,배당
96,1,2016-04-28 00:00:00,1030000000,1030000000,유찰
96,2,2016-06-09 00:00:00,1030000000,824000000,낙찰
96,3,2016-08-18 00:00:00,1030000000,824000000,배당
97,1,2016-05-26 00:00:00,2780000000,2780000000,유찰
97,2,2016-06-30 00:00:00,2780000000,2224000000,낙찰
97,3,2016-09-06 00:00:00,2780000000,2224000000,배당
98,1,2016-04-28 00:00:00,1700000000,1700000000,유찰
98,2,2016-06-09 00:00:00,1700000000,1360000000,낙찰
98,3,2016-08-18 00:00:00,1700000000,1360000000,배당
99,1,2016-06-30 00:00:00,420000000,420000000,유찰
99,2,2016-08-11 00:00:00,420000000,336000000,낙찰
99,3,2016-10-04 00:00:00,420000000,336000000,배당
100,1,2016-06-28 00:00:00,895000000,895000000,유찰
100,2,2016-08-09 00:00:00,895000000,716000000,낙찰
100,3,2016-10-18 00:00:00,895000000,716000000,배당
101,1,2016-04-27 00:00:00,1280000000,1280000000,유찰
101,2,2016-06-01 00:00:00,1280000000,1024000000,낙찰
101,3,2016-07-21 00:00:00,1280000000,1024000000,배당
102,1,2016-04-21 00:00:00,940000000,940000000,변경
102,2,2016-06-02 00:00:00,940000000,940000000,변경
102,3,2017-03-02 00:00:00,940000000,940000000,유찰
102,4,2017-04-06 00:00:00,940000000,752000000,낙찰
102,5,2017-06-21 00:00:00,940000000,752000000,배당
103,1,2016-02-17 00:00:00,1410000000,1410000000,변경
103,2,2016-04-27 00:00:00,1410000000,1410000000,유찰
103,3,2016-06-01 00:00:00,1410000000,1128000000,낙찰
103,4,2016-08-10 00:00:00,1410000000,1128000000,낙찰
103,5,2016-10-27 00:00:00,1410000000,1128000000,배당
104,1,2016-05-12 00:00:00,2270000000,2270000000,유찰
104,2,2016-06-16 00:00:00,2270000000,1816000000,변경
104,3,2016-09-01 00:00:00,2270000000,1816000000,낙찰
104,4,2016-11-03 00:00:00,2270000000,1816000000,배당
105,1,2016-04-28 00:00:00,411000000,411000000,유찰
105,2,2016-06-09 00:00:00,411000000,328800000,낙찰
105,3,2016-08-18 00:00:00,411000000,328800000,배당
106,1,2016-06-01 00:00:00,770000000,770000000,유찰
106,2,2016-07-06 00:00:00,770000000,616000000,낙찰
106,3,2016-09-29 00:00:00,770000000,616000000,배당
107,1,2016-05-11 00:00:00,780000000,780000000,유찰
107,2,2016-06-15 00:00:00,780000000,624000000,낙찰
107,3,2016-09-06 00:00:00,780000000,624000000,배당
108,1,2016-05-12 00:00:00,230000000,230000000,유찰
108,2,2016-06-16 00:00:00,230000000,184000000,낙찰
108,3,2016-08-11 00:00:00,230000000,184000000,배당
109,2,2016-09-27 00:00:00,2810000000,2810000000,변경
109,3,2016-12-06 00:00:00,2810000000,2810000000,낙찰
109,4,2017-02-09 00:00:00,2810000000,2810000000,배당
110,1,2016-06-28 00:00:00,5570000000,5570000000,유찰
110,2,2016-08-09 00:00:00,5570000000,4456000000,낙찰
110,3,2016-10-04 00:00:00,5570000000,4456000000,배당
111,1,2016-08-11 00:00:00,830000000,830000000,변경
111,2,2016-10-27 00:00:00,830000000,830000000,변경
111,3,2016-12-29 00:00:00,830000000,830000000,낙찰
111,4,2017-03-21 00:00:00,830000000,830000000,배당
112,1,2016-05-31 00:00:00,787000000,787000000,변경
112,2,2016-09-20 00:00:00,787000000,787000000,낙찰
112,3,2016-11-18 00:00:00,787000000,787000000,배당
113,1,2016-06-21 00:00:00,1120000000,1120000000,낙찰
113,2,2016-08-24 00:00:00,1120000000,1120000000,배당
114,1,2016-04-27 00:00:00,470000000,470000000,유찰
114,2,2016-06-01 00:00:00,470000000,376000000,변경
114,3,2016-07-06 00:00:00,470000000,376000000,낙찰
114,4,2016-09-21 00:00:00,470000000,376000000,낙찰
114,5,2016-12-08 00:00:00,470000000,376000000,배당
115,1,2016-04-28 00:00:00,866000000,866000000,유찰
115,2,2016-06-09 00:00:00,866000000,692800000,낙찰
115,3,2016-09-08 00:00:00,866000000,692800000,배당
116,1,2016-04-28 00:00:00,1440000000,1440000000,낙찰
116,2,2016-07-07 00:00:00,1440000000,1440000000,배당
117,1,2016-06-07 00:00:00,2600000000,2600000000,낙찰
117,2,2016-08-25 00:00:00,2600000000,2600000000,배당
118,1,2016-08-16 00:00:00,1285000000,1285000000,낙찰
118,2,2016-11-18 00:00:00,1285000000,1285000000,배당
